COUNTY_FIP,State,COUNTY_NAM,Low Income Population with Low Access to Grocery Stores,Black Population with Low Access to Grocery Stores,Hispanic Population with Low Access to Grocery Stores,Multiracial Population with Low Access to Grocery  Stores,Senior Population with Low Access to Grocery Stores
1,WI,Adams,694.7155105,13.42126413,48.06150315,40.19011599,390.5138648
3,WI,Ashland,2065.11578,5.326266499,35.76157626,88.21316917,849.7454973
5,WI,Barron,1439.221977,5.966101969,76.88404466,54.89930116,834.9278037
7,WI,Bayfield,1567.631785,12,23.7708649,80.76092062,1183.917787
9,WI,Brown,14516.71722,1270.493593,2143.570904,1905.564732,6267.120594
11,WI,Buffalo,897.3967953,5.781540736,48.99546122,47.13602698,619.7888222
13,WI,Burnett,449.0673395,5.998158499,5.097881767,23.58714912,483.8339673
15,WI,Calumet,2111.269807,65.94513341,504.5650863,422.0947866,1078.838613
17,WI,Chippewa,3154.358722,141.3332361,114.3275765,175.0607279,1258.876107
19,WI,Clark,518.1588908,3.757063896,53.78210086,48.17576165,360.7249091
21,WI,Columbia,839.899206,89.13646763,107.7497141,58.81070266,558.9667153
23,WI,Crawford,773.8121856,3.402549596,31.73644981,23.69265463,412.5173883
25,WI,Dane,25062.22308,6428.488736,7816.046932,6162.90304,10564.93063
27,WI,Dodge,3405.753557,684.9869036,427.8192164,303.9433718,1554.207109
29,WI,Door,716.3304006,29.54416731,54.89505982,47.47631484,540.8591329
31,WI,Douglas,3747.190378,70.61137633,101.2690097,339.3105174,2135.271223
33,WI,Dunn,2007.816382,42.60036154,91.00311612,125.1663836,974.0261714
35,WI,Eau Claire,6417.454396,199.3587712,317.5099881,411.2166341,2767.195183
37,WI,Florence,234.955214,0,8.064775649,8.000000053,130.7390929
39,WI,Fond du Lac,6926.082359,441.2928284,970.7655209,686.0449542,2848.436339
41,WI,Forest,1289.514788,64.80105053,42.79426502,81.5064975,809.1808013
43,WI,Grant,2027.433232,177.1923606,90.21816391,68.33518325,942.1735832
45,WI,Green,1773.206332,25.9555948,213.7698244,169.6551199,1015.099276
47,WI,Green Lake,1277.033537,24.53495032,237.6327454,134.4092238,628.3555797
49,WI,Iowa,1354.998522,30.00095308,71.01919694,55.06319532,656.0852838
51,WI,Iron,348.0359552,0,13.83184404,23.13360939,255.8828303
53,WI,Jackson,2667.56473,295.540771,198.7350344,110.0733046,988.9148793
55,WI,Jefferson,1585.58859,21.0849804,339.0747454,260.549538,974.0791821
57,WI,Juneau,2246.429337,25.50846822,124.1481353,93.43398222,1098.522277
59,WI,Kenosha,11309.40498,1638.870998,3616.895181,2310.791084,4200.40566
61,WI,Kewaunee,32.21897699,0.951711645,1.002725463,0.730859974,20.81171405
63,WI,La Crosse,6509.633224,295.7526713,333.5030768,469.9777856,3427.992567
65,WI,Lafayette,723.473786,2.488260259,37.27950299,19.80755992,426.0718045
67,WI,Langlade,2175.596301,14.5971077,59.89880593,94.54659048,1625.109525
69,WI,Lincoln,1088.606582,70.51398892,51.20624002,65.83394449,663.659981
71,WI,Manitowoc,4341.462599,115.8174989,569.0171926,480.3600885,2342.725448
73,WI,Marathon,7608.487166,196.2777161,574.6723491,632.7467595,4386.319829
75,WI,Marinette,4255.357576,25.55900025,129.9751598,159.6236493,2477.385474
77,WI,Marquette,53.27646719,0,9.986436534,10.97513841,43.08207594
78,WI,Menominee,458.4504911,4.000000072,34.95428936,10.59085796,83.98675896
79,WI,Milwaukee,23907.63477,16686.75924,5375.779367,3670.198085,11004.20911
81,WI,Monroe,3241.742305,88.83183992,295.4927175,255.8221353,1013.816208
83,WI,Oconto,1381.356429,2.981849772,55.17796662,74.61563479,854.2697172
85,WI,Oneida,1101.22203,6.54751793,15.26899777,48.95242533,863.8915247
87,WI,Outagamie,4318.031727,137.2375461,740.3247052,617.4443902,2150.013321
89,WI,Ozaukee,3640.344316,384.6219847,611.4677164,468.9753081,4044.817198
91,WI,Pepin,,0,0,,
93,WI,Pierce,1907.676148,37.47737236,188.3548434,169.5584734,1145.821136
95,WI,Polk,319.750669,1.75724127,7.883012256,10.88174353,144.5628662
97,WI,Portage,3709.328109,52.55836197,348.3293151,253.7203084,1760.764788
99,WI,Price,610.3833982,0.186458873,19.08366542,20.40137923,315.8102687
101,WI,Racine,16268.44886,6471.666452,6778.620312,4673.270042,7187.291755
103,WI,Richland,1390.13554,24.03920129,44.90556292,25.04381374,640.9739049
105,WI,Rock,16925.56268,2244.169176,3272.933794,2561.91111,6280.198704
107,WI,Rusk,2122.19893,9.474302446,50.06826755,58.01579167,1051.389382
109,WI,Sauk,1201.146711,32.36312683,359.9450936,143.7790814,653.138828
111,WI,Sawyer,1135.603718,55.0000013,32.76759367,121.0774494,789.5400904
113,WI,Shawano,1535.516437,12.80647282,106.5852211,148.9414481,690.4277988
115,WI,Sheboygan,2366.328498,173.8599445,293.0528357,234.3798092,1794.104489
117,WI,St. Croix,1802.001951,80.21510139,218.7824134,220.7900894,997.239327
119,WI,Taylor,1655.235659,15.64109952,53.75601768,40.68938804,854.9720374
121,WI,Trempealeau,92.93131663,1,1.375177968,1.000448076,58.08816361
123,WI,Vernon,1823.026577,14.053239,52.10939849,53.39777631,771.8165659
125,WI,Vilas,372.3476301,0,11.67542871,13.32514961,487.4126154
127,WI,Walworth,8704.708249,225.431505,3725.867591,2022.70691,3649.243948
129,WI,Washburn,1089.755198,2.960699408,26.72175668,54.32682265,700.1805038
131,WI,Washington,3964.139952,344.410264,738.9281159,592.8675498,3124.83017
133,WI,Waukesha,19745.72188,1922.413272,5573.65722,3027.995121,18158.82416
135,WI,Waupaca,1576.121681,34.93531201,139.7415042,87.13344078,1655.042142
137,WI,Waushara,113.7521675,0.161711059,16.40510222,14.93147651,76.16327413
139,WI,Winnebago,8332.098376,679.594245,1009.566358,812.7546355,4438.091207
141,WI,Wood,4851.849257,71.34037864,277.7360499,246.8225993,2664.721872
